,VTI,EFA,VWO,SPY,IJH,IWM,EWU,VGK,EWJ,AXJL,GXC
VTI,0.000109181,9.98186E-05,0.000154481,0.000106328,0.000106036,0.000124411,0.000105794,0.000105801,7.93532E-05,0.000132336,0.000173273
EFA,9.98186E-05,0.00014577,0.00017987,9.94756E-05,9.95341E-05,0.000109294,0.000148514,0.000150505,0.000115823,0.000157363,0.000193061
VWO,0.000154481,0.00017987,0.000322565,0.000151766,0.000152054,0.000173688,0.000188799,0.000182631,0.000143592,0.000264771,0.000366577
SPY,0.000106328,9.94756E-05,0.000151766,0.000105631,0.000103003,0.00012033,0.000105927,0.000104659,7.86483E-05,0.000128809,0.000169249
IJH,0.000106036,9.95341E-05,0.000152054,0.000103003,0.000111054,0.000126894,0.000105325,0.000104725,7.93616E-05,0.00013091,0.000169405
IWM,0.000124411,0.000109294,0.000173688,0.00012033,0.000126894,0.000162558,0.000117285,0.000114754,9.04647E-05,0.000150629,0.000200615
EWU,0.000105794,0.000148514,0.000188799,0.000105927,0.000105325,0.000117285,0.000177373,0.00015775,0.000108066,0.00015972,0.000195906
VGK,0.000105801,0.000150505,0.000182631,0.000104659,0.000104725,0.000114754,0.00015775,0.000163587,0.000107938,0.000152549,0.000183218
EWJ,7.93532E-05,0.000115823,0.000143592,7.86483E-05,7.93616E-05,9.04647E-05,0.000108066,0.000107938,0.00013495,0.000139272,0.000179504
AXJL,0.000132336,0.000157363,0.000264771,0.000128809,0.00013091,0.000150629,0.00015972,0.000152549,0.000139272,0.000273743,0.000342147
GXC,0.000173273,0.000193061,0.000366577,0.000169249,0.000169405,0.000200615,0.000195906,0.000183218,0.000179504,0.000342147,0.000564161
