"","values","ind","name"
"1",100,"levelSlope","features6M"
"2",4.4,"T10Y3MM","features6M"
"3",100,"curvature","features6M"
"4",100,"TEDRATE","features6M"
"5",100,"BAA10YM","features6M"
"6",4.4,"AAA10YM","features6M"
"7",4.3,"Returns3MSPX500","features6M"
"8",19.3,"Returns3MM2SL","features6M"
"9",10.9,"Returns3MM2REAL","features6M"
"10",4.9,"Returns3MTWEXOMTH","features6M"
"11",10.1,"Returns3MINDPRO","features6M"
"12",12.2,"Returns3MDSPIC96","features6M"
"13",12.6,"Returns3MconsumReal","features6M"
"14",12.1,"Returns3MPERMIT","features6M"
"15",4.9,"Returns3MPAYEMS","features6M"
"16",7.8,"Returns3MIC4WSA","features6M"
"17",4.5,"Returns3MAWHMAN","features6M"
"18",5,"Returns3MUSPMI","features6M"
"19",6.4,"Returns3MUNRATE","features6M"
"20",100,"GZSPREAD","features6M"
"21",5.3,"levelSlope","features12M"
"22",100,"T10Y3MM","features12M"
"23",54.9,"curvature","features12M"
"24",100,"TEDRATE","features12M"
"25",5.5,"BAA10YM","features12M"
"26",67.6,"AAA10YM","features12M"
"27",36.1,"Returns3MSPX500","features12M"
"28",95.1,"Returns3MM2SL","features12M"
"29",100,"Returns3MM2REAL","features12M"
"30",4.8,"Returns3MTWEXOMTH","features12M"
"31",70.2,"Returns3MINDPRO","features12M"
"32",98.5,"Returns3MDSPIC96","features12M"
"33",4.7,"Returns3MconsumReal","features12M"
"34",3.7,"Returns3MPERMIT","features12M"
"35",53.9,"Returns3MPAYEMS","features12M"
"36",9.2,"Returns3MIC4WSA","features12M"
"37",3.2,"Returns3MAWHMAN","features12M"
"38",53.2,"Returns3MUSPMI","features12M"
"39",20.9,"Returns3MUNRATE","features12M"
"40",75.2,"GZSPREAD","features12M"
"41",3.2,"levelSlope","features24M"
"42",100,"T10Y3MM","features24M"
"43",35.5,"curvature","features24M"
"44",6.5,"TEDRATE","features24M"
"45",23.4,"BAA10YM","features24M"
"46",9.5,"AAA10YM","features24M"
"47",68,"Returns3MSPX500","features24M"
"48",23,"Returns3MM2SL","features24M"
"49",3.2,"Returns3MM2REAL","features24M"
"50",100,"Returns3MTWEXOMTH","features24M"
"51",5.6,"Returns3MINDPRO","features24M"
"52",3.4,"Returns3MDSPIC96","features24M"
"53",7.6,"Returns3MconsumReal","features24M"
"54",59.4,"Returns3MPERMIT","features24M"
"55",44,"Returns3MPAYEMS","features24M"
"56",6,"Returns3MIC4WSA","features24M"
"57",3,"Returns3MAWHMAN","features24M"
"58",90.4,"Returns3MUSPMI","features24M"
"59",2.8,"Returns3MUNRATE","features24M"
"60",75.8,"GZSPREAD","features24M"
